GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
Around Lucia	http://aroundlucia.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//section[@class="entry-content"]	//li/time	//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a	http://aroundlucia.com/?cat=1	
Kela's Kloset	http://kelaskloset.com	//h3[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//abbr[contains(@class,"published")]	//ul[@id="post-list"]	//div[@class="prev"]/a		
SKIP - not blog site	http://www.chictopia.com/CoedUgly								
The Spicy Stiletto	http://thespicystiletto.com	//h1[contains(@class,"entry-title")]/a	//h1[contains(@class,"entry-title")]	//article[contains(@id,"post")]/section	//div[@class="singledate"]	//ul[@id="post-list"]	//nav[@class="homenext"]/a //li[@class="next-link"]/a		NOTE: 2 different links for next page. First one for first page, 2nd for other pages
Thread Sence	http://threadsence.com/Blog/	//div[@class="ts-post-header"]/h2/a	//div[@class="ts-single-header"]/h2/a	//div[@class="ts-post"]/p	//div[@class="ts-single-header"]/h3	//ol/li	//a[@class="nextpostslink"]		
Mattieologie	http://mattieologie.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol/li	//div[@class="nav-previous"]/a		
Teeth are Jade	http://teetharejade.com	//a[@class="title"]	//a[@class="title"]	//div[@class="storycontent"]	//div[@class="date"]	//ol/li	//div[@id="rightlink"]/a		
SKIP - NO SITE	http://www.fashionsalade.com/entuarmariomecole/								
Down This Road	http://www.iletaitunefois.com.au/	//h3[contains(@class,"post-title")]/a	//h3[contains(@class,"post-title")]/a	//div[contains(@class,"entry-content")]		//ol/li	//a[@class="blog-pager-older-link"]		
Necessary & Proper	http://www.necessary-and-proper.com	//div[contains(@class,"post-title")]/h1/a	//div[contains(@class,"post-title")]/h1	//section[@role="main"]	//div[contains(@class,"post-title")]/h4	//ol/li	//div[@id="infinite-handle"]/span		
Hanna Stefansson 	http://hanna.metromode.se/	//div[@class="post blogg-post "]/header/h2/a	//div[@class="post blogg-post "]/header/h2/a	//div[@class="the-blog-content"]	//h3[@class="meta-data"]	//ul[@class="feed-holder"]/li	//a[@class="next"]		
